userName,score,date,thumbsUpCount,comment
서연,1,2021-09-06,9,"오늘 재난지원금 신청해야하는데 오류라면서 못하게 하시면 어떡합니까?? 빨리 좀 고쳐주세요,,,"
김현섭,1,2021-09-06,1,국민지원금 탭이 안생김
jinhae jeong,1,2021-09-05,0,쓰레기네~ 시스템 개젓같음
남이재호,5,2021-09-05,0,참좋아용^^
Andy LEE.,1,2021-09-05,0,쓰래기은행일세... 계좌개설하고 이체한도가 200이라 해제신청하려고 조건에 부합하는 의료보험확인서 발급받아서 원본촬영해서 보냈더니 거절해버리네 ㅋㅋㅋㅋ 에라이... 보내달라는거 깔끔하니 버내줘도 거절 치아라 안쓴다
김성은,5,2021-09-05,0,안녕 하세요 너무편리해
갓HJ,1,2021-09-04,2,아니 카카오뱅크 자꾸 가입했었다고 그거아니면 로그인 못하게하고 안되서 비번이랑 패턴이랑 계속 문자보내서 바꿨는데도 다시 들어가면 계속 아니라하고 어쩌란거죠? 이래서 안쓰는건가;;
정예석,1,2021-09-04,0,보이루
국화,5,2021-09-04,0,너무 편리 해서 좋야요^^
려제,1,2021-09-04,0,돈을 다루는 어플이면서 자동화가 되어있지 않고 상담원없이는 해결할 수 있는게 한정적이여서 저녁에는 할 수 있는게 없습니다
SONG Won-Gi,1,2021-09-04,0,뱔로
HMLOL AR,5,2021-09-04,4,완벽한건 아니지만 다른은행 앱에 비하면 ㄹㅇ 천사다.
궁예철원,5,2021-09-04,0,좋아요
q Q,1,2021-09-04,0,만약에 문재가 생겼으면 카카오톡 고객센터분들 답장속도 느리니 1년만 기다리시면 됩니당
정용호,1,2021-09-03,0,"겔럭시 폴더3 에 카카오뱅크 등 은행 앱이 설치가 안됩니다, 왜 안되는지 ? 해결 방법은 없나요?"
독수리수리마수리,1,2021-09-03,2,알뜰폰이라 차별하는 거였네ㅋㅋㅋ심지어 리뷰 올린지 몇 분만에 칼삭제ㅋㅋㅋ 검열 수준 두렵노 내가 포기하나 봐라 계속 올려줄게
