WORD,TAG,reinforcer,score,count
검색어,NNG,1,0,3
검열,NNP,1,0,1
검은색,NNG,1,0,15
검정,NNG,1,0,1
검정,NNP,1,0,8
검증,NNG,1,0,2
검증,NNP,1,0,6
검지,NNG,1,0,3
검토,NNG,1,0,14
겁,NNG,1,0,267
겁나,VV,1,0,59
겁내,VV,1,0,1
겁먹,VV,1,0,1
겉,NNG,1,0,3
겉모습,NNG,1,0,1
겉보기,NNG,1,0,1
게,NNG,1,0,1734
게놈,NNG,1,0,1
게다,NNG,1,0,1
게다가,MAG,1,0,34
게도,NNP,1,0,2
게로,NNP,1,0,1
게시,NNG,1,0,17
게시판,NNG,1,0,2
게시판,NNP,1,0,5
게으르,VA,1,0,2
게을리,MAG,1,0,1
게이,NNP,1,0,4
게이트,NNP,1,0,1
게임,NNG,1,0,8
게임,NNP,1,0,20
게임 서버,NNP,1,0,1
겨,NNG,1,0,9
겨우,MAG,1,0,87
겨울,NNG,1,0,1
겨울,NNP,1,0,1
겨자,NNP,1,0,4
격려,NNG,1,0,1
격하,VA,1,0,3
겪,VV,1,0,40
견,NNG,1,0,2
견디,VV,1,0,2
견주,VV,1,0,2
결,NNG,1,0,1
결과,NNG,1,0,51
결과물,NNG,1,0,1
결국,MAG,1,0,173
결국,NNG,1,0,14
결론,NNG,1,0,8
결승전,NNP,1,0,1
결여,NNG,1,0,1
결재,NNG,1,0,38
결재권자,NNG,1,0,1
결점,NNG,1,0,2
결정,NNG,1,0,11
결정권자,NNG,1,0,1
결정체,NNG,1,0,1
결제,NNG,1,0,435
결집,NNG,1,0,1
결코,MAG,1,0,1
결하,VV,1,0,1
결함,NNG,1,0,4
결혼,NNG,1,0,8
겸비,NNG,1,0,2
겹,NNG,1,0,1
겹쳐지,VV,1,0,2
겹치,VV,1,0,11
경,NNG,1,0,3
경,NNP,1,0,3
경각심,NNG,1,0,2
경계,NNG,1,0,1
경고,NNG,1,0,16
경과,NNG,1,0,1
경기,NNG,1,0,1
경기,NNP,1,0,3
경기도,NNP,1,0,1
경기은행,NNP,1,0,1
경남,NNP,1,0,1
경량,NNG,1,0,2
경력,NNP,1,0,1
경로,NNG,1,0,1
경로,NNP,1,0,17
경매,NNG,1,0,1
경매,NNP,1,0,1
경민,NNP,1,0,2
경비,NNG,1,0,1
경사,NNP,1,0,1
경색,NNG,1,0,1
경신,NNP,1,0,1
경악,NNG,1,0,1
경영,NNG,1,0,3
경영인,NNG,1,0,1
경영진,NNG,1,0,1
경우,NNG,1,0,393
경운,NNP,1,0,2
경위,NNG,1,0,2
경이,NNG,1,0,1
경이롭,VA,1,0,1
경인,NNP,1,0,1
경쟁,NNG,1,0,15
경쟁력,NNG,1,0,11
경쟁사,NNG,1,0,7
경쟁자,NNG,1,0,1
경전철,NNP,1,0,1
경제,NNG,1,0,17
경제력,NNG,1,0,1
경제생활,NNG,1,0,2
경조사,NNG,1,0,1
경조사비,NNG,1,0,3
경지,NNG,1,0,1
경찰,NNG,1,0,3
경찰서,NNP,1,0,2
경찰청,NNP,1,0,2
경쾌,XR,1,0,2
경품,NNG,1,0,13
경향,NNG,1,0,8
경험,NNG,1,0,86
경험,NNP,1,0,2
경험자,NNG,1,0,1
곁,NNG,1,0,13
곁눈질,NNG,1,0,1
계,NNG,1,0,33
계가,NNP,1,0,1
계고,NNP,1,0,1
계기,NNG,1,0,12
계란,NNG,1,0,1
계모,NNP,1,0,3
계발,NNG,1,0,1
계산,NNG,1,0,27
계산,NNP,1,0,3
계산기,NNG,1,0,9
계산기,NNP,1,0,2
계서,NNG,1,0,5
계세,NNG,1,0,9
계속,MAG,1,0,2687
계속,NNG,1,0,61
계시,NNP,1,0,1
계시,VV,1,0,43
계약,NNG,1,0,19
계약,NNP,1,0,2
계약금,NNG,1,0,2
계약자,NNG,1,0,1
계열,NNG,1,0,44
계열사,NNG,1,0,21
계자,NNP,1,0,3
계장,NNG,1,0,2
계절,NNG,1,0,16
계절,NNP,1,0,4
계정,NNG,1,0,14
계정,NNP,1,0,67
계좌,NNG,1,0,1829
계좌,NNP,1,0,2866
계좌 번호,NNG,1,0,2
계좌 이체,NNG,1,0,44
계좌번호,NNG,1,0,146
계좌이체,NNG,1,0,298
계통,NNG,1,0,4
계획,NNG,1,0,27
계획,NNP,1,0,1
계획서,NNG,1,0,1
고,NNG,1,0,2
고,NNP,1,0,2
고,VV,1,0,1
고 온,NNP,1,0,1
고가,NNP,1,0,2
고개,NNG,1,0,6
고객,NNG,1,0,644
고객,NNP,1,0,334
고고,NNP,1,0,3
고교,NNG,1,0,1
고구마,NNP,1,0,1
고급,NNG,1,0,6
고도,NNP,1,0,4
고든,NNP,1,0,1
고등학교,NNG,1,0,1
고등학교,NNP,1,0,8
고등학생,NNG,1,0,5
고딕체,NNG,1,0,1
고딕체,NNP,1,0,1
고려,NNG,1,0,41
고려,NNP,1,0,6
고령,NNG,1,0,3
고령자,NNG,1,0,2
고로,MAG,1,0,3
고르,VV,1,0,22
고르고,NNP,1,0,2
고리,NNP,1,0,117
고리타분,XR,1,0,1
고마,NNP,1,0,1
고마움,NNG,1,0,1
고마워요,NNP,1,0,14
고마워하,VV,1,0,1
고만,MAG,1,0,2
고맙,VA,1,0,42
고맙습니다,NNP,1,0,43
고문,NNG,1,0,1
고문,NNP,1,0,1
고민,NNG,1,0,83
고발,NNG,1,0,1
고발,NNP,1,0,1
고생,NNG,1,0,63
고센,NNP,1,0,1
고소,NNG,1,0,2
고소,NNP,1,0,3
고소,XR,1,0,3
고속,NNG,1,0,1
고속도,NNG,1,0,1
고수,NNG,1,0,1
고수,NNP,1,0,2
고스트,NNP,1,0,1
고심,NNG,1,0,3
고아,NNP,1,0,1
고안,NNG,1,0,3
고액,NNG,1,0,4
고야,NNP,1,0,1
고양이,NNP,1,0,1
고요,NNP,1,0,83
고용,NNG,1,0,5
고용량,NNG,1,0,1
고위,NNG,1,0,1
고유,NNP,1,0,3
고의,NNG,1,0,2
고이,VV,1,0,1
고자세,NNG,1,0,1
고작,MAG,1,0,5
고장,NNP,1,0,13
고전,NNP,1,0,1
고정,NNG,1,0,31
고정,NNP,1,0,8
고졸,NNG,1,0,2
고지,NNG,1,0,3
고지,NNP,1,0,9
고지도,NNP,1,0,1
고지라,NNP,1,0,1
고지서,NNG,1,0,4
고질,NNG,1,0,1
고질병,NNG,1,0,2
고집,NNG,1,0,15
고충,NNG,1,0,1
고치,NNP,1,0,2
고치,VV,1,0,465
고침,NNG,1,0,21
고토,NNG,1,0,1
