,comment
67,kb 모바일 인증서 신청 중 계속 신분증 인식이 안되네요 어이가 없네요 인식도 못 하는 카메라 인식 기능은 왜 만들어 논 건지 내 신분증이 문젠가 싶어 신분증 진위 확인행정부에 연락해서 진위 여부 확인하고 생쇼를 했네요 덕분에
68,서버 다운돼도 사과도 없고 리뷰 지우기 바쁘네
69,로그인이 계속 안돼요 전체 설정 거기도 터치가 안되고 다 터치가 안돼요 전부 아무것도 안돼요 왜 이래요 K3 그것도 다해놨는데 아예 아무것도 안돼요
70,계좌 개설하려고 본인 계좌 인증하는데 1원 입금 단계에서 막힘 1원 입금이 되지 않음 문의하니 쿠키랑 데이터 삭제하래서 했음 그래도 먹통 앱 삭제 후 다시 하래서 했더니 그래도 여전히 되지 않음 뭐 이런 게 다 있음 이틀에 걸쳐서 20번 넘게 시도했지만 다 실패했다
71,로그인이 안 돼요;
72,좋습니다
73,좋아요 
74,정말 역대급으로 불편한 앱 
75,별로
76,정말 좋네요
77,쓰레기임 일부로 가입을 하게끔 하는 불편한 KB
78,비밀번호 3회 오류로 비밀번호 기억이 나지 않아 찾기탭으로 가서 입력하고 보니 이전 비밀번호를 입력하라고 하고 기억나는 대로 입력하니 3회 오류 해제 후 진행하라며 튕기는데 다시 로그인 탭 가서 로그인을 시도하니 비밀번호 찾기 탭으로 가서 해지부터 하라고 하네요
79,이렇게 못 만든 앱을 본 적이 없음 1점도 아까워요 이거 때문에 주거래 은행 바꿔야 하나 고민 중입니다 폴드 3로 바꾸고 나서 로그인하려고 하니 화면 보기도 막 지 마음대로 돌아가고 비번 치다가 계속 키보드 에러 난다고 꺼지질 않나 아이디 비번 리셋 Otp 비번 6자리 설정 누르라 하는데 세팅 창안 숫자 6개라고 하고 에러코드는 숫자문자로 하라고 나옴 그 와중에 가성 키보드엔 숫자 밖에 뜨질 않아서 진행 자체가 불가능함 아이디 로그인  에러 아이디 비번 리셋  otp 설정 에러라고 계속 막힘 폴드 3 환경 실행  앱 깨짐 뭐 어쩌란 건지 이러니까 카카오 뱅크 같은 거에 밀리지 편의성이라곤 진짜
80,국민카드 국민 페이는 실수로 웹회원 삭제한 것 복원되었습니다 국민은행만 방문 처리 가등 해요 문제가 있다는 것이죠 비밀번호 찾기 무용지물입니다 비밀번호 오류 해결을 위해서 비밀번호 찾기를 하는 거잖아요 새 비밀번호만 설정하면 완료되어야 되잖아요 모든 개인 정보 확인이 된 상태인데 국민은행이 문제가 있다는 말씀드립니다 이런 상태가 계속 유지되고 있어서 계좌 해지 하고 싶은 마음뿐 입다 계좌 해지해 주세요 체크카드 알파원카 있으나 마나인 카드이고 신용카드 3장 발급되어서 2장은 사용 안 하려고 사용중지했더니 중지한 것이 신용카드이고 알파원은 연결고리 역활쁜이어서 무용지물입니다 모두 해지해주세요 현재 정보로는 발급이 안되니까요 해지해 주세요 계좌 카드 정보 모두 해지해 주세요 휴대폰 정보도 kt에서 U로 이동 상황이 확인이 안되고 있는 국민은행입니다 맺으려 합니다
81,아 미치겠네 자꾸 첫 화면에서 먹통이에요 안 들어가죠요 다시 깔고 하는데도 짜증 나네요 이거 처리 좀 해주세요
82,몇 년째 잘 사용했는데 최근 들어서 로그인 문제가 계속되네요 인증에서 먹통 되어버립니다 답글 달아놓으신 방법 다해봐도 여전히 먹통이네요 빠른 조치 부탁드립니다
83,업데이트할 때마다 인증서 날아가는 쓰레기 어플
84,갤럭시 폴드 3외 호환이 안됩니다 서브 화면은 로그인이 가능하나 메인화면에서 갑자기 화면 잘리고 불편합니다
85,추석 전 날 어플을 여는데 인증서 암호를 누르고 나면 계속 어플이 꺼지는데 10번 넘게 반복해도 안되네요 입출금 내역 하나도 확인을 못하는데 추석이 지나면 해결이 될까요
86,주 거래인데 잘 쓰고 있어요
87,로그인 문제 삭제 뭐 이런 거 말고 좀 고쳐주세요
88,로그인이 안 돼서 타행 인증서로 하려 하니 되지도 않고 오류코드 설명도 안 돼있고 신분증으로 다시 하려 하니 이제 인식도 안되고 수정도 안되네요
89,최악 최악 최악 답답해 뒤지겠네 비밀번호 설정 시 안될 조건이 있으면 에러 처리 말고 아이디 중복 확인처럼 하라고 막히면 다시 핸드폰인 증 이 비번 안되면 다시 핸드폰인 증 저 비번 안되면 다시 핸드폰인 증 조건 만족시켜줘도 그냥 에러랍시고 다시 핸드폰 인증 장난하냐 왜 다시 그 페이지로 돌아가냐고 Ibk 반의반의반만 닮아봐
90,스타뱅킹 로그인을 패턴으로 하는데 패턴 입력하면 로딩 중일 때 나오는 동전 나오는 상태에서 무한 로딩 중 상태만 되고 로그인이 안 됩니다 앱 재설치 폰 업데이트 어플 업데이트 캐시 데이터 삭제 다 해봤는데 하나도 안됩니다 왜 이런 거죠 다른 인증방법으로 로그인하려고 해도 패턴 입력을 하고 변경해야 돼서 안됩니다
91,노트 10사용자입니다 인증 기간이 지나서 다시 신청하려는데 핸드폰 번호 입력을 할 수가 없네요 혹시나 해서 앱도 다시 다운로드하고 했는데도 핸드폰 번호를 입력할 수 없어요 어떻게 해야 하나요
92,실행 오류 좀 해결하세요 대출 돈놀이 신경 쓰는 거 10라도 관심 가지면 이렇게 개판이지 않을 텐데 말입니다
93,매우 만족
94,왜 계속 멈추나요 답글대로 해봐도 안되고 사용을 못 하고 있어요 계속 어플이 멈추고 인증센터도 인증하다 멈춰요 해결해주세요
95,아니 앱 사용할 때 3번 중 2번은 로그인 창에서 움직이질 않아서 삭제했다 다시 깔아요 앱 쓰려고 휴대폰을 바꿔야 하나요 꽤 예전에도 LG 폰 로그인 안 돼서 리뷰로 문의하신 분을 봤는데 언제쯤 조치 되나요 앱 관리 팀이 혹시 소수이신가요
96,왜 다운로드가 안되는 건가요
97,인증서에서 먹통이네
98,모바일 인증서 화면에서 넘어가지 않고 있습니다 삭제 후 재설치 해도 소용없고 다른 리뷰에 답변 내용 보고 조치해 봐도 소용없습니다
99,홍미 노트 사용자입니다 설치에서 계속 버퍼링만 있고 진행이 되질 않습니다 직장 에어 급여 지급 은행이 변경된 상황이라 설치해야 하는데 너무 곤란하네요
100,금융상품으로 안 들어가고 상품마다 펀드 계좌에서 기준가를 매일매일 볼 수 있게 해주셨으면 합니다 다른 은행들은 상품마다 기준가가 전부다 설치되어 있습니다
101,로그인하기 더럽게 어려움
102,아니 왜 페이 가입을 하는데 비번 틀리면 스타뱅킹으로 풀어야 하는지 이건 뭐 들어보지도 못한 개소리인 것 같네요
103,왜 자꾸 에러가 나죠들어가면 로그인 화면이 뜨는 게 정상 그런데 대부분은 멈춰있어서 지웠다 다시 깐 게 몇 번인지 몰라요
104,로그인이 안 돼서 타행 인증서로 하려고 했더니 뭐가 문제인지도 안 알려주고 안 된다고만 하고 신분증 인증하려고 하니 10분 넘게 재촬영하는데 앱이 미쳤나 흐릿하게 찍힌 것만 인식되고 흐릿하게 찍혀서 주민등록 앞 번호가 등록 안돼서 수정하려고 하니 수정 자체가 안되네요 그냥 뭐 국민은행하고 손절하라는 건지 로그인 안 돼서 어플 삭제하고 앞으로 국민은행 안 쓸 거예요 진짜 뭐 이딴 앱을 만들었어
105,계속 오류 생기고 로그아웃 돼요
106,그저께부터 앱 사용이 어렵다며 접속이 안 되는데 처리가 왜 이렇게 늦습니까
107,아 lg 폰인 데 어플 안대요 하라는 데로 다했는데  정말 망했어요 피해가 어마하네요 정말 미치겠네요
108,앱을 시작하면 먹통이 돼요
109,씨 이건 뭐 맨날 먹통이야 다른 은행 어플은 잘만 되는구먼 국민은행 안 써 화가 난다
110,안드로이드 10 g8 l인데 앱이 오류인지 실행 중단됩니다
111,아 회원가입 개 같네 1원 입금을 처하라고
112,1원 인증에서 아무리 해도 안 넘어 가져요
113,로그인이 안 돼요 며칠째 쓰질 못해요 멜로 보냈어요 확인해주세요 이체해야 돼요
114,엘지 폰 쓰는데 첫 로그인이 안 됨 피씨로 잘만 되는데 얘만 틀렸대 어쩌라는 거야 카드로 인증하려 해도 아이디 없다고 안되고 난 회원이라고
115,아니 로딩 화면에서 넘어가질 않는데 이거 대체 언제 고쳐주시나요 인터넷뱅킹 앱이 잔액조회도 안되면 뭐 어쩌자는 겁니까 내 돈 얼마 남았는지 확인도 안되는데 지금 일주일도 넘은 거 같은데 일 안 합니까
116,대체 왜 회원가입하려고 주민등록증을 찍었는데 주민번호를 다시 치라고 하고 앞자리 치는 부분은 아예 숫자를 칠 수 없게 되어있고 위 사진에서 인식이 되어서 뒷자리만 입력했더니 주민번호를 확인하세요만 몇 번을 뜨는 겁니까 이따위로 할 거면 앱 만들지 마 그냥
117,고칠 거면 좀 제대로 고쳐놓든가요 솔직히 앱 별론데 그냥 이것 밖에 없으니까 쓰고 있던 건데 뭐 하자는 거예요 지금 고객이 우스워요 고친다 해놓고 지금 내빼는 건가 진짜 이럴 거면 앱을 다시 만들던가 은행이 뭐 하자는 거야
118,왜 입출금 알림을 스타뱅킹 앱에서 안 오고 스타 알림이라는 어플을 따로 설치해야 하는지 이해가 안 가는데 그렇다고 스타 알림 어플에서 알림이라도 잘 오면 그냥 그러려니 하고 쓸 거야 근데 알림이 안와 국민은행 너는 어떻게 생각해 너 담당자야 너 국민은행 어플 안 쓰지 그러니까 이따위 어플이 탄생하는 거야 입출금 알림 뜨는 게 그렇게 어려운 거야
119,로그인을 하려 하면 비밀번호 틀렸다고 하고 비밀번호 재설정하려 하면 로그인을 하라고 하네요 비밀번호를 모르는데 로그인을 어떻게 하나요 타 기관 인증서 등록하려 하면 자꾸 오류라 하면서 등록이 안되고 지문등록하려 하면 또 인증서 등록하라 하고 어떻게 하라는 건지 고객센터도 로그인해야 들어갈 수 있는데 어디다가 말씀드려야 하나요 은행 못 가서 모바일로 사용하는 건데
120,왜 안 돼요
121,아니 원래 로그인 돼있었는데 초기화돼서 아디 비번 치니까 3번 다 틀렸다 떠서 사용자 암호 횟수 오류라고 비번 재 설정하려고 새로운 비밀번호 치고 간편 비밀번호 6자리 눌렀는데 계속 확인만 누르면 새로운 비밀번호 칸이 초기화돼서 필수 항목 적어야 된다고 계속 뜨네 무한 반복이네 장난하는 것도 아니고
122,너무너무 편하고 좋더라고요
123,컴맹 복구 불가능
125,폴드 3에서 태블릿으로 인식되는 건 그렇다 치고 모바일 인증서로 로그인하는 메뉴가 없네요 로그인 선택에서 모바일 인증서 고를 수도 없게 되어있고 자동 로그인 창이 안 뜹니다 수정해주세요
126,처음 글 남긴 1달 전과 동일한 이야기를 또 복사해서 붙여 넣는 답변을 하네요 지금 이게 LG 문제라고 말씀하시는 겁니까 당연히 피처링 처리하지 않는 KB 문제 아닙니까 수정 예상 일정을 문의했더니 책임회피 답변을 하고 있네요 답답하네요 정말 수정 일정을 알려주세요 무슨 SW 수정에 대한 일정도 없고 1달 넘게 대응 대책도 없고 답변에 변화도 없고 무슨 경우입니까 이게
