,comment
18595,편리하고 좋네요
18596,다양한 정보제공과 사용의 편리성에 만족합니다
18597,벌써 국민은행과 거래한지 25년이 지나가는데 늘 한결같이 편하고 친근하네요 지금처럼만 같이 해주세요
18598,이벤트가 많아서 너무 좋아요 빠른 이체도 편리하고 뭐든지 한눈에 쏙쏙 들어와요
18599,편하게 잘 사용하고 있어요
18600,노란색 아이콘 눈에 잘 띄어 좋아요 빠른 이체 자주 쓰는 계좌 좋아요 이체로 한 계좌번호도 확인 가능하면 좋을 것 같아요
18601,편리하고 좋아요
18602,계좌 정보 보기에도 편리하고 사용하는 것도 편해서 자주 이용하고 있어요
18603,언제 어디서나 간편하게 이용할 수 있어서 좋아요
18604,처음 어플보단 계속 사용자의 편리성에서 생각하는 거 같아요
18605,간편하고 쉬워서 좋아요
18606,국민은행 다니면서 이제는 스타뱅킹으로 해서 은행 갈 일이 없고 이벤트도 많아서 좋아요 편리하게 사용하고 있어요
18607,사용하기 너무 간편해서 좋아요 계속 이용 중입니다
18608,잘 사용하고 있습니다 앞으로도 쉽고 빠른 앱으로 지속 개선해주세요
18609,정말 어플마다 각각 기능들이 나눠져 있었는데 이제 어느 정도 한 어플의 다 모아져서 볼 수 있고 메인 화면도 간편하고 보기 쉽게 바뀌어서 망설 힘 없이 원하는 메뉴를 클릭하니 속이 시원하네요 
18610,국민은행을 주 거래로 만족하며 사용하고 있습니다 그렇지만 어플에서는 스타뱅킹 하나로 다되는 게 아니라 너무 많은 다른 어플들을 사용해야 하는 게 번거로워요 리브 리브 메이트 등 그리고 대출이자를 어플 상에서 바로바로 볼 순 없을까요 그 외에는 만족하면서 사용하고 있습니다 감사합니다
18611,KB국민은행 스타뱅킹 앱은 정상 작동 중이나 알림 앱은 수 년 째기 기를 변경하는 동안에도 제대로 사용을 못 하고 있습니다 은행의 알림 기능은 기본인데 앱을 분리해 설계한 상태에서 그 앱이 문제가 있다면 별을 다섯 개 줄 수는 없을 것 같습니다 사용자가 기본 앱 알림 앱 선택할 수도 없으니까요 결국 오픈뱅킹 앱을 깔아서 수시로 이체 내역을 확인하고 있습니다
18612,군더더기 없이 깔끔해요 해지 예상 미래도 조회할 수 있는 게 제일 좋아요 은행 어플들이 다 느려서 그건 어쩔 수 없지만 이상한 캐릭터들 적어서 보기 편합니다 
18613,계좌조회가 편하고 쉽게 모바일뱅킹을 할 수가 있음 다양한 이벤트와 함께 정보를 찾아보기가 좋아서 자주 이용
18614,메뉴 찾기도 편하고 계좌 조회 및 이체도 간편합니다 무엇보다 오류가 없어서 쓰기 좋습니다
18615,좋습니다 잘 이용하고 있습니다
18616,국민은행 새로 개설해서 사용하는데 여러 가지 기능도 많고 사용하기 편하게 구성되어 있어서 좋아요
18617,이전보다 훨씬 더 직관적이고 간편해서 좋은데 너무 각자의 앱으로 관리해야 해서 설치해야 할 앱이 많아져서 핸드폰이 무거워져요
18618,공인인증서 없어지고 지문으로 로그인 되면서 겁나 편해짐 이체도 최근 이체 자주 사용하는 계좌는 기억해줘서 금방돔 아직까지 사용상 불편한 점은 없어요
18619,오류가 별로 없고 사용하기 편리합니다 불편했던 경험이 없어요
18620,필요한 것 오류 없이 잘 쓰고 있어요 오픈뱅킹하니까 편하고 너무 좋네요
18621,노랑 노랑 한 밝은 이미지라 눈에 띄고요 로그인 시 편의에 맞는 다양한 방법이 있어 편리해요 자주 사용하는 항목은 별도로 하단에 추가되어 있는 점도 굿굿 매일 이용합니다
18622,Ui 깔끔합니다 앞으로도 기대하겠습니다 고객을 위한 다양한 이벤트와 피드백 기대하겠습니다 감사합니다
18623,사용하기 편하고 좋아요
18624,입출금부터 펀드까지 편리하게 사용하고 있습니다
18625,계좌 내역을 한 번에 보고 간편해서 좋아요 다른 은행과 연동돼서 한 번에 볼 수 있어서 좋습니다
18626,만족해요
18627,정말 편리하게 잘 사용하고 있어요 자산관리 정보도 많이 받고 좋아요 잘 쓰고 있습니다
18628,S 은행보다 동선 쉽고 편함
18629,편리하고 좋아요
18630,이용하기 편해요
18631,늘 이용하는 kb 스타뱅킹 우리 집 가계부입니다 편한 이용으로 신랑도 저도 애용합니다
18632,국민은행 앱 사용하기 편리해서 너무 만족합니다
18633,오랫동안 쓰고 있는데 불편함 없이 잘 쓰고 있습니다
18634,한발 앞서가는 서비스 좋아요
18635,로그인 방식에 패턴이 있어 편하고 인터넷뱅킹 이용에 유용하고 깔끔해요
18636,깔끔하고 사용하기 편합니다 리브 연동 상품도 굿
18637,오호 좋습니다
18638,국민은행 어플이 제일 편한 것 같아요 어플이 편리한 것도 주거래은행 선택에 영향을 주네요 빠른 이체랑 자주 사용하는 계좌 대출이율 보기 등등이 다른 어플보다 편리하고 각종 이벤트도 확인할 수 있어요 KB 인증서도 잘 쓰고 있어요
18639,간편하고 빠른 이체 등 편리해서 좋아요 자주이묭하고 있습니다
18640,국민은행 이용자라면 필수 어플이에요 사용법도 간편하고 UI도 깔끔해서 최고예요
18641,사용하기 편함
18642,아주 유용하게 사용하고 있습니다
18643,메뉴도 간단히 정리되어 있고 사용하기 편리하게 돼있어서 편하게 자주 사용하고 있어요
18644,실시간으로 조회 및 이체 각종 서비스를 바로 받을 수 있어서 좋아요
18645,쉽게 내 손안에서 은행 업무를
18646,매우 편리하게 사용하고 있습니다
18647,끊기지도 않고 이체나 금융거래 시 편리하네요
18648,아주 만족하며 사용하고 있습니다
18649,앱 설치 후 모바일 이체 조회가 편리하게 잘 쓰고 있습니다
18650,편리하고 좋아요 몇 년째 쓰고 있어요
18651,지문인식 잘 돼서 로그인이 빠르고 화면 정리가 잘 되어서 한눈에 들어와 쉽게 접근할 수 있어요 이체할 때 추가 이체로 시간 절약되고 좋아요
18652,KB 은행 앱이 제일 사용하기 좋아요
18653,아주 편하고 좋습니다 돈 결제할 때 지문등록만 해놓으면 내 지문 하나만으로 결제가 빠르고 쉽게 됩니다  내가 가지고 있는 다른 은행도 같이 볼 수 있어서 좋아요
18654,간단해서 좋네요
18655,편리해요
18656,사용하기 좋다
18657,금융에 대한 종합적인 서비스 이용이 가능하여 편리합니다
18658,메뉴가 커서 사용하기 편합니다 응답속도도 다른 앱에 비해 빠르고요 수수료 무료 혜택도 잘 사용하고 있습니다
18659,빠르고 쉽게 이체가 쉬워 항상 사용하고 있습니다
18660,은행 가지 않고 앱으로 할 수 있어서 좋아요 요즘 같은 비대면 시대에 정말 유용합니다 금융 정보도 얻을 수 있고 다양한 정보를 간편하게 알 수 있어서 좋습니다
18661,어플이 직관적이고 인증 등록하면 다음부터 사용하기 용이함 다른 은행의 계좌 등록이 간단하고 한눈에 잘 볼 수 있음
18662,은행 앱 중에 제일 사용하기 편리합니다
18663,집에서 은행 업무 보기 편해서 좋아요
18664,타행계좌관리까지 편리하고 상담 예약 기능도 너무 좋아요
18665,국민 어플이 가볍고 UI도 맘에 들어서 오픈뱅킹도 여기서만 써요 다만 증권사 연금계좌도 오픈뱅킹에 출금은 안되더라도 자산을 함께 보고 싶은데 보이게만이라도 안되려나요 업데이트해주세요
18666,우리나라 일등은행 이벤트도 많고 좋네요
18667,최초 진입 시에 로그인하는 게 타은행 사이트보다 느린 거 같고 로그아웃 시 v3가 계속 켜져 있는 현상이 가끔 있습니다 그 외엔 대체적으로 괜찮은 거 같네요
18668,아주 편하고 좋아요
18669,빠른 속도와 정확한 처리에 반했습니다 모바일 인증서 참 편해요
18670,사용 편리해요
18671,정말 편리한 금융앱 정말 좋습니 아
18672,이제껏 사용해본 은행 어플 중에 가장 직관적이고 빠릅니다 가장 장점으로 꼽을 수 있습니다 고객센터 상담원도 매우 친절하시고 일처리가 빠르셔서 매일 애용 중입니다 강추 강추  
18673,아주 편하게 이용하고 있습니다 kb 최고예요
18674,아주 좋아요
18675,등급 상향으로 혜택도 많고 앱 사용도 몇 가지 제외하고 편합니다
18676,사용하기 편리해서 아주 좋아요
18677,편리하고 깔끔하며 업데이트가 수시로 이루어져 좋습니다
18678,진짜 편리하고 간단하게 누구나 사용 가능 앱입니다 너무 좋아요
18679,좋아요 자주 이용합니다
18680,항상 뭘 하던 이용하는 어플이에요 자산관리하고 확인하고 이체도 하고 투자도 하고 이렇게 좋은 어플 이용하게 해주셔서 감사합니다 앞으로도 잘 쓸게요 국민은행 파이팅
18681,직장인 시작할 때부터 20년 넘게 거래 중인 kb 스마트폰 시대에 kb 스타뱅킹은 필수 타은행 메뉴까지 심플한 디자인 시인성 편리성 너무 좋네요
18682,사용하기도 편하고 오류가 없어서 가장 좋습니다
18683,앱 속도가 조금만 더 빨라지면 좋을 것 같아요 그리고 앱 안정화도 요 그것 빼곤 만족하면서 잘 사용하고 있답니다
18684,어플 쉽게 사용 가능하고 비대면으로 편하게 사용 가능해요
18685,편해요
18686,화면 간 전환이나 원하는 기능 찾기가 쉬워서 편리하고 좋아요
18687,항상 잘 사용하고 있습니다
18688,편리하게 잘 이용하고 있습니다
18689,최고의 은행 최고의 앱
18690,다양한 서비스를 간편하게 이용할 수 있어서 좋아요 특히 모바일 인증으로 들어가서 편안하게 은행 업무를 보다 보니 컴퓨터보다 폰으로 뱅킹 업무를 하게 되었어요
18691,업데이트 이후 사용 편리함
18692,아주 편리하게 잘 사용하고 있어요 필요한 모든 은행 업무를 휴대폰으로 처리하니 빠르고 편리하네요
18693,사용도 편하고 정말 좋습니다 은행 앱 많이 사용하지만 KB 스타 뱅크가 쵝오에요 늘 감사합니다 인증을 페이스 인증도 되게 했으면 더 좋겠어요
18694,너무 좋아요 믿고 보는 국민 앱
18695,너무 편하게 잘 쓰고 있어요
18696,좋아요
18697,이벤트도 많고 메뉴가 잘 정돈되어 있어 편리합니다
18698,편하게 은행 업무를 볼 수 있어서 좋아요
18699,다른 은행 앱에 비해서 열리는 속도가 느린 감이 있지만 그 외에는 편리하게 사용 가능해요 저는 다른 은행 계좌도 연동해서 편하게 쓰고 있어요
18700,자주 쓰는 앱이고 사용하기 편하네요
18701,몇 년째 사용하고 있는데요 필요한 메뉴가 잘 나와있어서 사용하는데 불편함 못 느꼈어요
18702,타은행 뱅킹 앱에 비해 오류 없이 빠르게 처리도 어서 항상 만족하며 잘 사용하고 있습니다
18703,은행 업무 모든 것을 처리할 수 있어 편리함 오픈뱅킹이 생긴 후 타은행 잔액 모으기 같은 편한 기능 사용으로 더 자주 찾게 됨 리브나 리브 메이트와 함께 사용하면 서로 연동되고 더 편리함
18704,인증 절차 중 지문인식이 편리해요
18705,늘 사용하는 건
18706,방문 없이 모든 것을 해결할 수 있어서 좋아요 어플도 깔끔하고 한눈에 보기 쉽긴 하지만 아쉬운 점은 어플이 느려요
18707,아주 좋아요
18708,직관적이며 이용하기 편리함
18709,모바일 인증서로 사용하니까 이체도 편리해요
18710,이만한 앱이 없지요
18711,편리하게 되어있네요
18712,사용이 편리하고 좋아요
18713,편해요
18714,입니다 좋습니다
18715,스마트 otp를 이용할 수 있어 매우 편리합니다 간편 로그인이 로그인 첫 화면에 뜨면 로그인과 이용이 훨씬 편할 거 같습니다
18716,국민을 위한 주거래은행
18717,너무 좋아요 쓰기도 편하고 오류도 없어요
18718,쓰기 편해요
18719,잘 쓰고 있어요 감사합니다
18720,항상 사용하는데 크게 불편함 없이 사용하고 있습니다
18721,앱이 빠르고 쉽게 알 수 있어서 활용하기 좋아요
18722,주거래은행이라 편하게 쓰고 있어요
18723,레이아웃도 간결하고 세련되어지고 실행 속도도 무척이나 빨라졌네요;; 특히 스마트 ATM 기능이 지원되는 부분이 가장 편리하게 생각되고 또 마음에 드는 부분입니다;; 빨리 부자가 돼서 어플 실행을 자주 하는 사람이 되고 싶어요
18724,잘 사용하고 있어요
18725,국민은행 앱이 이전보다 많이 발전하는 거 같아서 좋습니다  다만 아쉬운 점은 입출금 알림을 받으려면 다른 어플을 깔아야 한다는 거예요 스타뱅킹 자체에 알림 기능이 생기면 좋겠습니다
18726,사용하기 편리해서 좋습니다
18727,깨톡보다 이걸 더 많이 쓰는 거 같은데 버퍼링 없고 간편하니 좋아요
18728,스타뱅킹 좋아요 이벤트도 많이 하고 쓰기 편하게 되어있어서 자주 사용합니다 더 직관적으로 편리하게 사용할 수 있게 만들어주세요
18729,좋아요
18730,주거래 은행으로 잘 쓰고 있습니다 쓰기 좋아요
18731,정말 여러 기능이 함축된 진액
18732,너무나 편리하고 좋아요 이 앱 하나면 다른 앱이 필요 없더라고요 매일매일 잘 쓰고 있습니다 
18733,국민은행은 소중한 어릴 적 추억과 함께 자란 은행이라 좋고 또 깔끔하고 대중적으로 문안한 앱이에요 그래서 매일 하루 한 번씩 꼭 들러봅니다
18734,UI 깔끔하고 이용하기 편리합니다
18735,수시로 업데이트가 되어 빠른 구동형과 보안이 이루어집니다 늘 보기 쉽게 이용이 간편하게 성장해나가서 좋습니다 앞으로도 꾸준히 성장해주세요
18736,국민은행만 계속 쓰고 있어요 앱도 보기도 좋고 편리합니다
18737,이용하기 쉬워요 한 번에 보기 쉽게 만들어서 편리하네요
18738,아이콘 색깔이 노란색이라 눈에 잘 띄어서 찾기 쉽고요 스마트폰 어려워하시는 저희 부모님도 편하고 쉽게 이용하실 수 있어서 좋아요 
18739,큰 불편함 없이 사용하고 있습니다 공동 인증서를 쓰지 않고 로그인할 수 있어 편합니다
18740,빠르고 좋아요
18741,은행 어플 중 가장 편리한 것 같아요
18742,주거래은행으로 이 앱만 쓰고 있어요 타은행 연결해서 쓰니 하나의 앱으로 편하게 사용 가능해서 좋아요
18743,간편하고 조작도 쉬워서 좋아요 타 은행 쓰다가 폰뱅킹이 잘 되어있어 국민으로 넘어오는 중이에요
18744,보안이 잘 되고 입출금과 오픈뱅킹 연결이 잘 되어 있어 타행계좌까지 잔액조회 한눈에 볼 수 있어 편리합니다
18745,상상 그 이상의 편리한 금융앱이라 할 수 있겠네요
18746,편리합니다
18747,쓰는 은행 앱 중 가장 편리한 인터페이스
18748,사용 간편하고 편하게 사용할 수 있어요
18749,잘 사용하고 있습니다 감사합니다
18750,사용하기 편합니다
18751,디자인이 예쁩니다 가능하다면 이체할 때 얼마까지 가능한지 현재 금액 알려준다면 더 편리할 것 같아요
18752,잘 사용하고 있습니다
18753,맘에 드는 디자인 보기 쉽고 하기 쉬운 구성 튼튼한 자본 역시 믿쓰kb
18754,손쉽게 뱅킹 서비스를 이용할 수 있어요 은행 대기를 집에서 미리 할 수 있어서 편리해요
18755,간단하게 잘 이용 가능합니다
18756,사용하기 편하고 각종 이벤트나 금융상품정보도 많아서 좋아요
18757,내가 사용하는 금융 어플 중 가장 마음에 들어요
18758,깔끔하고 보기 좋아요
18759,좋습니다
18760,오류 따위 없이 잘 되네요
18761,국민은행 앱은 일단 보기 편하게 해놔서 좋아요 물론 다양한 기능도 있어서 편합니다
18762,간편하고 편리해요
18763,사용하기 편합니다
18764,노란 디자인으로 깔끔하고 기분 좋게 만들어주는 어플 직관적으로 메뉴 찾기도 편하고 다른 은행 어플보다 이체하기 편리함
18765,예전엔 타 기관 인증서 때문에 좀 불편했는데 상담원과 통화 후 모바일 인증서나 패턴 비밀번호로 로그인할 수 있어서 간단하고 편리하게 이용합니다
18766,국민은행만 거래하는 저로서는 오픈뱅킹이 아주 유용하며 송금이나 이체가 편하다
18767,우선 통합계좌관리가 편하게 되어 있어서 좋습니다
18768,사용하기가 편해요
18769,여러 가지 은행 업무를 간편하게 볼 수 있어 좋습니다 업데이트 후 예상치 못한 에러의 횟수도 줄어들 거 같네요
18770,은행 갈 일 없이 핸드폰으로 처리돼서 너무 좋아요
18771,내 금융 정보를 한눈에 알 수 있고 화면 전환도 빨라서 사용하기 편리합니다 디자인도 노랑 검정이라 눈의 피로도 덜하고 이모저모 유용한 앱입니다
18772,주거래은행인데 이체하기도 편하고 스타숍 이용 등 기능 다양하게 할 수 있어서 너무 좋아요
18773,편리하게 잘 쓰고 있어요 지문인증 너무 편리해요
18774,사용하기 편리하고 좋아요
18775,공동 인증서로 타은행까지 잘 쓰고 있어요
18776,잘 쓰고 있습니다
18777,간편 로그인 기능도 좋고 이벤트도 다양하면서 쉽게 볼 수 있어 좋아요 편리하게 잘 만들어진 듯
18778,메뉴 간 이동은 편리하지만 환경이 크게 달라져 익숙하게 사용하려면 시간이 필요하다 보다 더 직관적이면 좋겠다
18779,로그인이 편해서 좋아요
18780,편리하게 잘 이용 중 빕니다 굿굿굿
18781,앱 하나로 다른 자산 확인과 사용자 편의를 신경 쓰신 게 보여요
18782,편리하고 좋아요
18783,국민은행 이용하면 어플 깔아두는 게 좋을 것 같아요 이벤트 푸시도 잘 오고 공인 인증서도 간편하게 바뀌어서 편합니다
18784,은행 어플의 정석이라고 생각합니다 업데이트도 잘 되고요 다른 은행들도 이 정도만 했으면 좋겠다 싶네요 KB 굿
18785,비대면 기능 편리하게 사용하고 있습니다
18786,컴퓨터를 켜지 않고 핸드폰으로 바로바로 사용할 수 있는 게 제일 좋은 것 같아요 인증도 여러 방식으로 하고 각자 편한 방법으로 사용하는 게 좋은 것 같아요
18787,편하고 좋아요
18788,주거래 은행으로 하고 있어요 좋습니다
18789,타 은행 어플보다 사용하기도 너무 편리하고 메뉴도 깔끔합니다
18790,많이 빨라지고 좋아졌어요 다만 국민 어플 종류가 너무 많아요 좀 통합해주세요
18791,편리하게 정말 잘 사용하고 있습니다
18792,메뉴 구성이 편리하게 되어있어 사용에 많이 도움이 됩니다
18793,어플이 여러모로 마음에 듭니다 부족한 부분은 반응이 약간 느리고 UI가 좀 더 직관적으로 바뀌었으면 좋겠습니다 카카오 나 케이뱅크 같은 경우는 UI가 직관적이고 단순해서 가독성이 좋습니다 그러나 이 애플리케이션은 그런 부분에 있어서는 조금 부족한 듯싶습니다 또한 이벤트가 다른 어플처럼 자주 있다면 계속 사용하게 되고 이용하게 드리라고 봅니다
18794,항상 잘 쓰고 있어요 카드형 도입되면서 보기도 편해졌어요 전에 로그인 문제로 문의 남긴 적 있는데 업데이트 문제였다고 친절히 답글도 남겨주시고 어플 쭉 쓸 의향 있어요 근데 어플 종류 좀 줄여줫으먄
18795,사용하기 편리합니다
18796,편리하게 잘 되어 있어요 제일 많이 쓰는 은행이라 필수 앱이죠 이벤트도 참여하고 유용한 앱이에요
18797,빠르고 간편합니다 수수료도 등급에 따라 면제해주는 좋습니다
18798,사용하기 편해요
18799,사용하기 편합니다
18800,UI도 좋고 사용에 편리해요
18801,유용해요
18802,사용하기 매우 편리해요 국민은행과는 고등학교 때부터 줄곧 주거래은행으로 사용해서 20년도 넘었네요
18803,항상 잘 사용 중입니다 이벤트 굿 가볍고 편리하게 잘
18804,너무 편해서 잘 사용하고 있습니다
18805,주거래 은행으로 특히 스맛폰앱을 잘 사용하고 있어요
18806,금융이 아주 편리해졌습니다 감사합니다
18807,편해요
18808,주거래 은행이 국민은행이어서 잘 사용하고 있어요 앞으로도 응원하고 계속 거래할게요
18809,만족하며 잘 사용하고 있습니다 한가지 아쉬움 점은 백신 프로그램이 가끔 동작하지 않는 것뿐
18810,오랫동안 사용한 이용자입니다 요즘은 공인인증서가 없어져서 더욱 빠르고 편리하게 이용할 수 있어서 너무 좋아요 번창하세요
18811,항상 이용하고 있는 베스트 어플 kb 스타뱅킹 편리함이 장점인 어플 만들어줘서 감사해요☆☆
18812,직관적인 ui 아주 좋아요
18813,예전에는 좀 불편하고 버벅거렸는데 많이 개선된 거 같아서 이용에 불편함은 없습니다
18814,2003년부터 주거래 은행으로 사용 중인데 앱이 나오고 웬만한 업무는 다 가능해져서 은행 방문 안 해도 되니 편리함 다만 세부적으로 앱이 나눠져있어서 여러 개 다운로드해야 하는 번거로움이 좀 있네요
18815,로딩하는 시간이 생각보다 길지만 오픈뱅킹부터 여러모로 알차게 활용하고 있어요
18816,은행 업무 편하게 할 수 있어 잘 사용 중입니다 한가지 이체할 때 돈이 빠져나갈 계좌 순서를 등록하거나 변경할 수 있었으면 좋겠어요 설정된 순서대로 계좌가 나타나서 순서 두 번째 계좌에서 이체를 많이 하는데 클릭으로 선택을 다시 해줘야 해서 살짝 불편합니다
18817,사용은 편리하나 좀 더 직관적이고 깔끔한 UI를 제공했으면 좋겠네요
18818,편리해요
18819,편리하고 좋아요
18820,간편 로그인으로 쉽게 로그인을 해서 편하게 통장잔얙 확인 및 이체 등등을 할 수 있어서 편리합니다 다만 KB국민은행 관련 앱이 너무 많아서 헷갈리기도 불편하기도 합니다 물론 각 앱들의 특성이 달라서 세분화되어 있겠지만 그래도 사용자 입장에서 한 번 더 생각해 주시길 바라봅니다
18821,국민은행 어플은 빠르고 안정화되어 좋습니다 타 은행권 어플보다 깔끔하고 편리해서 좋습니다
18822,가장 잘 사용하고 있는 은행 어플입니다 장점  랙도 안 걸리고 신속하게 지문 인식 또는 패턴으로 쉽게 로그인 가능한 점이 가장 큰 장점이라고 생각 듭니다 와이파이 약한 지하철에서도 너무 잘 돼서 이용에 불편함을 못 느낍니다
18823,빠르고 한눈에 잘 들어와서 찾기 쉽고 편해요
18824,4년 전만 해도 국민은행 앱 디자인은 타은행 앱에 비해 세련되었다 하지만 현재는 너무 변화가 없다 부모님이 쓰기에는 아이콘과 글씨가 작다 로그인 후 메인에서 큰 아이콘으로 간편한 인출금 바로 가기가 있었으면 한다
18825,좋아요
18826,쪼그만 더 빨라지면 좋을 것 같아요 나머지는 다 좋아요
18827,일단 오류도 거의 없어서 안전한 것 같고 이벤트도 많이 해서 너무 좋아요
18828,이용하면서 편하게 이용 중이며 로그인도 편하고 너무 좋아요 다른 은행 비해 더 이용하기 저는 너무 편합니다 자주 이용하겠습니다 국민은행 자주 애용하는 고객으로 더 좋은 이벤트도 많이 올려주세요
18829,계좌 모으기 기능으로 다른 은행 계좌에 있는 금액을 이체할 수 있어서 좋았습니다 아쉬운 점은 신용대출받을 때 심사에 얼마나 시간이 걸리는지나 진행 상황이 나왔으면 좋겠습니다
18830,빠른 이체 너무 편리하고 좋아요
18831,많이 개선되었지만 앱 통합 좀 해주세요 입출금 알림까지 앱을 따로 깔아야 하는 건 이해할 수 없네요
18832,먼가 다양한 신기술을 적용해서 고객편의를 추구하려는 노력이 보인다
18833,사용이 편리하고 직관적이라 좋습니다 다만 자주 사용하는 기능은 따로 마이메뉴 등을 통해 사용자가 구성하고 바로 사용할 수 있도록 만들어주면 좋겠습니다
18834,김은영 좋아요 다양한 정보가 있어서 앞으로도 더 좋은 이벤트로 깜짝깜짝 서프라이즈 이벤트 많이 해주세요 크지 않아도 소소한 기쁨을 주는 그런 따뜻한 앱으로 거듭나시길 바랍니다 코로나 블루 KB 스타 앱이랑 날려버려요
18835,경민정일단 로그인 시 시간이 업데이트할 때 보다 오래 걸린다 전보다 더디게 로딩 되거나 오류가 자주나 불편함이 있고요 신한 농협에 비해 간편 이체가 안되어서 외부에서 이체할 때 식은땀을 종종 흘려요 대출 통장과 주거래은행으로 옮기며 이체할 일이 많은데 이 부분 개선되길 바랍니다
18836,사용이 편리해요
18837,앱 모양이 노란색이라 눈에 확 띄어 찾기 편리해요 특히 모바일 인증서로 이체가 간편해져서 좋아요
18838,간편 로그인으로 쉽게 로그인되고 한눈에 볼 수 있도록 메뉴가 잘 정리되어 있으며 오픈뱅킹 외 쉽게 사용자들이 조회할 수 있도록 만들어져 편리합니다
18839,타행이체하기도 쉽고 증권사 계좌이체도 외화 원화 상관없이 다 되니 편하고 좋습니다 다만 지점별로 주차시설이 안 된 곳은 불편해요
18840,계좌조회부터 이체 예적금 가입까지 대부분의 모든 은행 업무가 스타뱅킹 앱으로 가능하다 보니 직접 은행을 방문하지 않고도 간편하고 빠르게 업무를 볼 수 있어 항상 편하게 잘 이용하고 있습니다
18841,좋습니다
18842,로그인이 엄청 쉬워졌고 타은행 계좌도 한눈에 볼 수 있어 좋아졌어요
18843,안정적으로 앱 사용을 하고 있습니다
18844,노란 버튼으로 한눈에 들어와 찾기 쉬워요 주거래 은행으로 거의 매일 사용해요 자산관리 빠른 이체까지 한곳에 있어서 찾기 너무 쉬워요 로그인 편리하고 이체 적금 펀드까지 직접 선택할 수 있어 너무 편리해요 조금 불편 한건 리브 똑똑 이체할 때 입금 받는 사람 찾는 게 좀 불편해요 제가 잘 몰라서 그럴 수도 있지만요;; 핸드폰 어플 중 가장 많이 이용합니다
18845,편해서 유용하게 잘 쓰고 있어요
18846,대학교 때부터 이용해오며 주 거래 카드가 되고 월급통장이 되었고 이젠 증권도 이용하고 있습니다 솔직히 제일 믿을만하고 편리하고 모든 면 최고는 아닐지라도 따져보면 볼수록 국민은행이 제일 좋네요
18847,너무 사용하기 편해졌어요 앱 사용이 불편했었는데 계좌 통합으로 여러 계좌도 볼 수 있고 그전보다 많이 개선되어 이용하는데 쉬워요
18848,편해요 쉽고 빠르고
18849,잘 사용하고 있어요
18850,사용 접근성은 좋으나 가끔 보안 프로그램이 구동되면서 다운되는 경우가 있음
18851,아주 만족합니다
18852,앱이 간편하고 깔끔하게 되어있어서 사용하기 편해요 간편 이체도 되고 좋네요
18853,간편하게 잘 사용하고 있어요
18854,인증서 없애니 편해짐
18855,쓰기 편리해서 좋아요
18856,최고의 은행 좋아요
18857,이용하기 편리하고 이벤트 활용 좋아요
18858,빠르고 정확하고 안전하고 좋아요
18859,좋아요
18860,깔끔한 화면에 사용자의 편의가 잘 배려되어 있네요
18861,사용 편리하고 좋습니다
18862,오픈뱅킹 후 전채 자산 도넛 그래프로 한눈에 볼 수 있어 좋습니다
18863,이용하기도 쉽고 간편해서 좋아요 
18864,주거래 은행이라 오래전부터 앱을 사용했는데 편리하고 좋아요
18865,편하게 잘 사용할 수 있어 좋아요 국민은행은 첫 직장 다닐 때부터 애용하는 은행이라 믿음이 갑니다
18866,사용하기 편리합니다 다만 로그인이 좀 늦는 거 같아요
18867,어렸을 때부터 쭉 거래해온 은행 앱으로도 손쉽게 사용하고 있네요
18868,굿 업데이트하고 전보다 훨씬 이용이 편해졌어요
18869,국민은행 어플 자주 이용하고 있습니다 아직까지 사용상 문제는 없네요
18870,이벤트도 많고 좋아요
18871,사용하기 편리합니다  굿굿
18872,사용 편하고 좋아요
18873,Kb는 쓸데없는 앱 늘리지 말고 하나로 합쳐라 개수가 몇 개냐
18874,잘 쓰고 있어요
18875,KB 스타뱅킹 진짜 잘 이용하고 있어요 짱짱입니다
18876,편리하게 잘 구성돼 애용하고 있습니다
18877,유용하게 잘고 있어요
18878,너무 좋아요 주거래통장이라서 항상 사용하고 있어요 다른 은행 로그인은 공인인증서 비밀번호 눌러야 하지만 국민은행 로그인은 지문으로 사용해서 간편하고 빠르게 해결 가능 평점을 5개밖에 없어서 너무 아쉬워요 직접 사용해보시면 아실 거예요
18879,안정적이고 편의성 탁월 혜택도 이벤트도 많아서 좋네요
18880,패턴으로 간편 로그인부터 원하는 업무 찾기가 편리하네요 이벤트도 다양하게 자주 해서 굿군입니다
18881,모바일 인증서 발급받아서 너무 편리하게 잘 이용하고 있습니다 어플 이용하기도 편리하고 금융 어플 중 최고입니다
18882,사용하기 편하게 잘 되어 있습니다
18883,오래 사용해서 익숙해진 건지 은행 앱 중에서 제일 사용하기 편한 것 같아요 메뉴들이 직관적인 편이고 빠른 이체할 때 간편해서 좋네요 로그인할 때 홍채인증이 사라진 점은 아쉽네요
18884,주거래 은행으로 사용 잘 사용하고 있어요 앱이 끊기지도 않고 잘 사용하고 있습니다
18885,빠르고 디자인도 이쁘네요
18886,버벅거림 없이 잘 쓰고 있습니다 kb 어플이 몇 개인지 다 노랑 노랑 핸드폰이 노랑 노랑 합니다
