,count,WORD,TAG,reinforcer,score
678,5,일부러,MAG,1,0
679,5,취하,VV,1,0
680,5,말씀,NNG,1,0
681,5,위치,NNG,1,0
684,5,해제,NNG,1,0
683,5,전부,MAG,1,0
687,5,첨,NNG,1,0
685,5,무료,NNP,1,0
686,5,개명,NNG,1,0
676,5,망하,VV,1,0
677,5,돌아오,VV,1,0
668,5,절대,NNG,1,0
675,5,반사,NNP,1,0
674,5,지켜보,VV,1,0
673,5,대충,MAG,1,0
672,5,메,NNG,1,0
671,5,잘못,MAG,1,0
669,5,푸시,NNP,1,0
667,5,애용,NNG,1,0
666,5,날,NNG,1,0
665,5,경험,NNG,1,0
664,5,무료,NNG,1,0
689,5,문,NNG,1,0
688,5,로그인,NNG,1,0
707,5,한도,NNG,1,0
690,5,떡,NNG,1,0
691,5,옹호,NNG,1,0
662,5,주소,NNP,1,0
714,5,금,NNG,1,0
713,5,플레이,NNP,1,0
712,5,고생,NNG,1,0
711,5,처리,NNP,1,0
710,5,면제,NNP,1,0
709,5,사라지,VV,1,0
708,5,잡,VV,1,0
706,5,유효,NNG,1,0
705,5,그리,VV,1,0
704,5,주,NNP,1,0
703,5,몇 번을,NNP,1,0
702,5,신용카드,NNP,1,0
701,5,연락,NNG,1,0
700,5,출시,NNG,1,0
699,5,보이스,NNP,1,0
698,5,아무것,NNG,1,0
697,5,환불,NNG,1,0
696,5,막히,VV,1,0
695,5,마라,NNP,1,0
694,5,길,VA,1,0
693,5,관리,NNP,1,0
692,5,대단,XR,1,0
663,5,깔끔,XR,1,0
670,5,별점 1점,NNG,1,0
661,5,분실,NNG,1,0
622,5,강,NNP,1,0
633,5,설정,NNP,1,0
632,5,승인,NNP,1,0
631,5,배,NNG,1,0
630,5,성향,NNG,1,0
629,5,페리,NNP,1,0
628,5,조장,NNG,1,0
627,5,남성,NNG,1,0
626,5,적절,XR,1,0
625,5,늘리,VV,1,0
624,5,돌아가,VV,1,0
623,5,지지,NNG,1,0
621,5,다양,XR,1,0
635,5,정,NNP,1,0
620,5,이율,NNG,1,0
619,5,만기,NNG,1,0
618,5,손가락,NNG,1,0
617,5,정리,NNG,1,0
616,5,들어오,VV,1,0
614,5,역겹,VA,1,0
613,5,가리,VV,1,0
612,5,잔고,NNG,1,0
611,5,괜찮,VA,1,0
610,5,담당,NNG,1,0
660,5,노,NNP,1,0
634,5,발생,NNG,1,0
615,5,대기업,NNP,1,0
636,5,정해,NNP,1,0
649,5,미성년자,NNP,1,0
637,5,티,NNG,1,0
659,5,이후,NNG,1,0
658,5,평가,NNG,1,0
657,5,국민,NNG,1,0
655,5,동의,NNG,1,0
654,5,표현,NNG,1,0
609,5,고요,NNP,1,0
653,5,쓰레기,NNG,1,0
652,5,미리,MAG,1,0
651,5,한국,NNP,1,0
650,5,불만,NNG,1,0
656,5,거의,MAG,1,0
648,5,스토어,NNP,1,0
643,5,인터넷,NNG,1,0
647,5,물어보,VV,1,0
639,5,연동,NNP,1,0
641,5,높,VA,1,0
642,5,어차피,MAG,1,0
640,5,팀,NNG,1,0
644,5,잔,NNG,1,0
645,5,상대방,NNG,1,0
646,5,법,NNG,1,0
638,5,실시간,NNP,1,0
824,4,신경,NNG,1,0
825,4,GS25,NNP,1,0
833,4,엄지,NNG,1,0
826,4,둘,NR,1,0
827,4,그동안,NNG,1,0
828,4,명의,NNG,1,0
829,4,라면,NNP,1,0
830,4,실화,NNG,1,0
831,4,코,NNG,1,0
838,4,심각,XR,1,0
834,4,내일,NNG,1,0
835,4,책임,NNG,1,0
836,4,신한,NNP,1,0
837,4,구분,NNG,1,0
839,4,이자,NNP,1,0
840,4,지인,NNP,1,0
841,4,칼,NNG,1,0
822,4,줄이,VV,1,0
842,4,걷,VV,1,0
823,4,전화,NNP,1,0
809,4,운영,NNG,1,0
821,4,쿠팡,NNP,1,0
810,4,반복,NNP,1,0
844,4,열심히,MAG,1,0
802,4,열리,VV,1,0
803,4,안 돼,VV,1,0
804,4,심사,NNP,1,0
805,4,없애,VV,1,0
806,4,최소한,NNG,1,0
807,4,멈추,VV,1,0
808,4,현재,MAG,1,0
811,4,환장,NNG,1,0
820,4,주말,NNP,1,0
812,4,확실히,MAG,1,0
813,4,컷,NNG,1,0
814,4,갈등,NNG,1,0
815,4,눈,NNG,1,0
816,4,지도,NNG,1,0
817,4,그때,NNG,1,0
818,4,기원,NNG,1,0
819,4,외국인,NNG,1,0
843,4,멀,VA,1,0
870,4,안일,NNG,1,0
845,4,어제,NNG,1,0
876,4,번거롭,VA,1,0
868,4,별 하나도 아깝,VA,1,0
869,4,굉장히,MAG,1,0
800,4,주변,NNG,1,0
871,4,부,NNG,1,0
872,4,아,NNP,1,0
873,4,난리,NNG,1,0
874,4,교통카드,NNP,1,0
875,4,공,NNG,1,0
877,4,돌,VV,1,0
846,4,조만간,MAG,1,0
878,4,소리,NNG,1,0
879,4,인증번호,NNG,1,0
880,4,일일이,MAG,1,0
881,4,문제 해결,NNP,1,0
882,4,등록,NNP,1,0
883,4,너무나,MAG,1,0
884,4,미,NNP,1,0
885,4,이틀,NNG,1,0
867,4,애,NNG,1,0
866,4,조금,MAG,1,0
865,4,출력,NNP,1,0
864,4,대상,NNG,1,0
847,4,현황,NNG,1,0
848,4,동작,NNP,1,0
849,4,생활,NNG,1,0
850,4,고장,NNP,1,0
851,4,부팅,NNP,1,0
852,4,어,IC,1,0
853,4,본인 인증,NNG,1,0
854,4,청소년,NNG,1,0
855,4,선생님,NNP,1,0
856,4,개,NNG,1,0
857,4,똥,NNG,1,0
858,4,갑,NNG,1,0
859,4,누,NNP,1,0
860,4,쓸,VV,1,0
861,4,제작,NNG,1,0
862,4,동일,NNG,1,0
863,4,로딩,NNP,1,0
801,4,기준,NNG,1,0
832,4,겪,VV,1,0
799,4,문,NNP,1,0
746,4,장애인,NNP,1,0
738,4,베리,NNP,1,0
739,4,멍청,XR,1,0
740,4,맘,NNG,1,0
741,4,저축,NNG,1,0
742,4,용돈,NNG,1,0
743,4,드,NNP,1,0
744,4,창,NNG,1,0
745,4,은,NNP,1,0
747,4,끄,VV,1,0
736,4,일주일,NNP,1,0
748,4,대기,NNP,1,0
749,4,어휴,IC,1,0
750,4,택배,NNP,1,0
751,4,이벤트,NNP,1,0
752,4,다,NNG,1,0
753,4,의심,NNG,1,0
754,4,챙기,VV,1,0
755,4,계산,NNG,1,0
737,4,허용,NNG,1,0
735,4,소비자,NNG,1,0
757,4,쭉,MAG,1,0
723,4,25,NNP,1,0
798,4,명의,NNP,1,0
716,4,1점도 아깝,VA,1,0
717,4,잃어버리,VV,1,0
718,4,빠지,VV,1,0
719,4,인간,NNG,1,0
720,4,해도,NNP,1,0
721,4,옆,NNG,1,0
722,4,반,NNG,1,0
724,4,귀찮,VA,1,0
734,4,전수,NNG,1,0
725,4,부르,VV,1,0
726,4,학생,NNG,1,0
727,4,미흡,XR,1,0
728,4,계시,VV,1,0
730,4,피싱,NNP,1,0
731,4,장점,NNG,1,0
732,4,괜히,MAG,1,0
733,4,아래,NNG,1,0
756,4,사항,NNG,1,0
729,4,편의점,NNP,1,0
758,4,소지,NNG,1,0
788,4,평생,NNG,1,0
780,4,공식,NNG,1,0
781,4,검색,NNP,1,0
782,4,이모티콘,NNP,1,0
783,4,찾아내,VV,1,0
784,4,원래,NNG,1,0
785,4,연동,NNG,1,0
786,4,합,NNG,1,0
787,4,자유,NNG,1,0
789,4,어제,MAG,1,0
778,4,쓰이,VV,1,0
791,4,잠그,VV,1,0
792,4,늘,MAG,1,0
793,4,강제,NNP,1,0
794,4,야,IC,1,0
795,4,터치,NNP,1,0
796,4,배우,VV,1,0
759,4,버전,NNP,1,0
797,4,가져오,VV,1,0
779,4,문자,NNG,1,0
790,4,비하,NNG,1,0
777,4,장난치,VV,1,0
768,4,조회,NNG,1,0
760,4,데이터,NNG,1,0
761,4,댓글,NNP,1,0
776,4,시일,NNG,1,0
762,4,느끼,VV,1,0
763,4,가자,NNP,1,0
765,4,끌,VV,1,0
766,4,권한,NNG,1,0
767,4,시중,NNP,1,0
764,4,알아보,VV,1,0
715,4,검색,NNG,1,0
769,4,쇼,NNG,1,0
770,4,기간,NNG,1,0
771,4,후불,NNG,1,0
772,4,아무리,MAG,1,0
775,4,중단,NNG,1,0
774,4,대표,NNG,1,0
773,4,고민,NNG,1,0
1040,3,웬만,XR,1,0
1044,3,일관,XR,1,0
1043,3,즉각,MAG,1,0
1042,3,전액,NNG,1,0
1041,3,자산,NNG,1,0
1038,3,기본,NNG,1,0
1039,3,업계,NNG,1,0
1035,3,여부,NNG,1,0
1037,3,엉망,NNG,1,0
1036,3,가볍,VA,1,0
1034,3,통,MAG,1,0
1046,3,행동,NNG,1,0
1045,3,여전히,MAG,1,0
1054,3,월세,NNG,1,0
1047,3,뚝,MAG,1,0
1048,3,키,NNG,1,0
1049,3,정지,NNG,1,0
1050,3,차,VV,1,0
1051,3,해제,NNP,1,0
1052,3,카트,NNP,1,0
1053,3,파이팅,NNP,1,0
1055,3,일러스트,NNG,1,0
1056,3,올바르,VA,1,0
1057,3,평점,NNG,1,0
1058,3,충전,NNP,1,0
1032,3,풀리,VV,1,0
1059,3,거부,NNG,1,0
1033,3,분명,MAG,1,0
1013,3,늦,VA,1,0
1031,3,캐릭터,NNP,1,0
1030,3,당황,NNG,1,0
1061,3,기억,NNG,1,0
1005,3,설,NNG,1,0
1006,3,남녀,NNG,1,0
1007,3,어이없,VA,1,0
1008,3,거절,NNG,1,0
